EmployeeID,FirstName,LastName,Gender,DOB,Age,SSN
E00043,Ragnhild,Lien,F,1993-09-07,32,01115905216
E00044,Bente,Næss,F,1964-02-03,61,27114625065
E00045,Nina,Gulbrandsen,F,1998-11-11,27,22025426820
E00046,Nina,Martinsen,F,1980-12-29,45,02028442443
E00047,Håkon,Hagen,M,1986-05-26,39,28099529522
E00048,Unni,Antonsen,F,1960-02-06,65,14056604821
E00049,Gro,Lund,F,1977-07-06,48,07089504397
E00050,Karoline,Hanssen,F,1970-03-14,55,03036800932
E00051,John,Ruud,M,1966-07-07,59,08069507140
E00052,Trond,Moe,M,1970-01-16,55,18018338307
E00053,Tom,Holm,M,1973-04-27,52,21104532702
E00054,Ivar,Andersen,M,1965-09-30,60,30075017126
E00055,Andrea,Henriksen,F,1968-05-14,57,29045010714
E00056,Roger,Sørensen,M,1988-07-27,37,28025707070
E00057,Thor,Brekke,M,1996-08-04,29,01040487901
E00058,Eli,Knudsen,F,1968-02-20,57,24090373168
E00059,Kjell,Ellingsen,M,2005-11-17,20,04028522830
E00060,Laila,Paulsen,F,1969-12-25,56,30038611638
E00061,Anna,Danielsen,F,1982-01-26,43,16043742381
E00062,Hilde,Christensen,F,2007-03-10,18,13109702794
E00063,Gunn,Eliassen,F,1990-10-15,35,11027614320
E00064,Anders,Ruud,M,1972-08-10,53,26097117127
E00065,Øystein,Hansen,M,1983-05-12,42,06124921196
E00066,Eirik,Hagen,M,1971-08-14,54,25055502105
E00067,Reidun,Knudsen,F,1982-12-28,43,14024232132
E00068,Kristian,Nguyen,M,1972-05-26,53,18088445607
E00069,Andrea,Martinsen,F,1996-02-09,29,11114523633
E00070,Bente,Sandvik,F,1981-12-08,44,30075142168
E00071,Torill,Hauge,F,1993-12-22,32,26097920744
E00072,Tobias,Haugen,M,1997-03-11,28,24019626691
E00073,Terje,Tangen,M,1971-04-23,54,05045200533
E00074,Johannes,Ellingsen,M,1988-09-19,37,27123629715
E00075,Linn,Simonsen,F,1974-01-03,51,15086147359
E00076,Siv,Arnesen,F,1978-10-11,47,28036105315
E00077,Terje,Haugland,M,1974-10-02,51,13088901058
E00078,Hege,Larsen,F,2001-01-23,24,16073829678
E00079,Steinar,Nguyen,M,1972-09-11,53,14014315366
E00080,Stig,Solberg,M,1959-11-04,66,10024029099
E00081,Rolf,Gulbrandsen,M,1967-09-22,58,13076629875
E00082,Monica,Næss,F,1981-01-21,44,22093939909
E00083,Magnus,Moe,M,1989-10-23,36,15039328507
E00084,Unni,Gulbrandsen,F,2002-11-10,23,09088240313
E00085,Ida,Knutsen,F,1964-09-26,61,20064315502
E00086,Karl,Haug,M,1996-03-22,29,02040059213
E00087,Kristian,Solberg,M,1969-11-11,56,09024404606
E00088,Leif,Henriksen,M,1996-05-22,29,06096503308
E00089,Magne,Jenssen,M,1999-03-19,26,31014524692
E00090,Andrea,Iversen,F,1979-10-15,46,20113947900
E00091,Rita,Eriksen,F,1992-09-09,33,18108727744
E00092,Anders,Jenssen,M,1982-05-04,43,23064746375
E00093,Malin,Berntsen,F,2001-10-23,24,25075925827
E00094,Nina,Ruud,F,1961-04-23,64,14129908778
E00095,Eva,Andersen,F,1977-03-03,48,21067313787
E00096,Jenny,Holm,F,1985-04-07,40,09078214195
E00097,Åse,Rønning,F,1962-03-16,63,26103901870
E00098,Espen,Fredriksen,M,1968-01-21,57,30126436277
E00099,Malin,Solheim,F,1976-11-25,49,06093810978
E00100,Simen,Tangen,M,1967-04-05,58,14093719000
E00101,Sander,Ahmed,M,1980-09-10,45,29105504908
E00102,Thor,Pedersen,M,1975-12-29,50,04059843953
E00103,Eivind,Myklebust,M,1962-04-05,63,01057642579
E00104,Bente,Lund,F,2003-07-13,22,13117626673
E00105,Cathrine,Knudsen,F,1984-02-11,41,18065045326
E00106,Marius,Danielsen,M,1994-12-21,31,15024939933
E00107,Øyvind,Lien,M,1991-02-06,34,28056805593
E00108,Lise,Gulbrandsen,F,1991-02-02,34,11055621189
E00109,Olav,Helland,M,1971-11-03,54,28096322447
E00110,Kenneth,Hansen,M,2000-01-13,25,29074435147
E00111,Marte,Eide,F,1965-04-16,60,30108531963
E00112,Vidar,Fredriksen,M,2006-06-18,19,08106428124
E00113,Britt,Haugen,F,1974-07-18,51,15037119854
E00114,Knut,Larsen,M,1997-02-16,28,07115927943
E00115,Jorunn,Iversen,F,2007-04-18,18,10106619560
E00116,Hanna,Berg,F,1972-07-27,53,05037947808
E00117,Vidar,Solberg,M,1972-01-24,53,19049047641
E00118,Ida,Strand,F,1999-08-03,26,13043906377
E00119,Inger,Evensen,F,1984-01-09,41,21059100944
E00120,Emil,Hansen,M,1962-07-25,63,04080294358
E00121,Silje,Thomassen,F,1992-11-13,33,12049836455
E00122,Maren,Lien,F,1989-06-09,36,30117603454
E00123,Odd,Berge,M,1963-11-30,62,14077104926
E00124,Steinar,Sivertsen,M,1963-02-11,62,14119336407
E00125,Bjørg,Gulbrandsen,F,1967-07-12,58,01065738917
E00126,Sara,Eriksen,F,1995-01-10,30,10057328555
E00127,Sebastian,Karlsen,M,1980-03-31,45,20065639026
E00128,Vidar,Ellingsen,M,2002-01-12,23,20078810360
E00129,Emma,Moe,F,1964-07-28,61,09069326622
E00130,Synnøve,Næss,F,1991-06-11,34,09058114437
E00131,Tone,Hanssen,F,2007-04-21,18,01106643241
E00132,Helene,Ødegård,F,2001-12-31,24,27075427064
E00133,Mette,Eriksen,F,2003-07-16,22,11029409198
E00134,Asbjørn,Dahl,M,1980-05-25,45,05025428120
E00135,Malin,Solberg,F,1980-02-28,45,15094417942
E00136,Mette,Lunde,F,1989-04-03,36,07040077485
E00137,Rita,Gundersen,F,1961-03-23,64,16049943842
E00138,Sebastian,Abrahamsen,M,2005-03-19,20,21048348286
E00139,Maren,Martinsen,F,2003-10-20,22,23106727783
E00140,Daniel,Larsen,M,1983-02-22,42,06117020167
E00141,Finn,Henriksen,M,1987-06-24,38,01044502794
E00142,Britt,Haug,F,1976-08-22,49,24067825833
E00143,Andrea,Ruud,F,1996-05-22,29,13016603362
E00144,Petter,Jacobsen,M,2001-11-01,24,14083940728
E00145,Vidar,Andersen,M,1973-04-26,52,11078318610
E00146,Tobias,Lie,M,1967-09-24,58,22110495246
E00147,Jonas,Moe,M,1960-05-24,65,08125705309
E00148,Eirik,Kristoffersen,M,1967-06-17,58,16054926670
E00149,Maren,Gulbrandsen,F,1990-07-20,35,10015824269
E00150,Reidun,Madsen,F,1968-10-02,57,21030176569
E00151,Mari,Halvorsen,F,1959-08-22,66,08028237945
E00152,Siv,Lie,F,1969-07-30,56,03066735957
E00153,Kåre,Kristiansen,M,1981-05-12,44,23079014613
E00154,Ann,Haug,F,1991-08-26,34,19034431194
E00155,Elisabeth,Lund,F,1999-08-18,26,12097728052
E00156,Martine,Kristiansen,F,1960-07-05,65,01094226224
E00157,Berit,Larsen,F,1977-07-02,48,09027741123
E00158,Jorunn,Simonsen,F,1995-10-12,30,22057340758
E00159,Mette,Ali,F,2001-06-26,24,05050190465
E00160,Hanna,Tangen,F,1965-08-13,60,19076848044
E00161,Linn,Dahl,F,2006-09-10,19,13088002479
E00162,Aud,Haugen,F,1983-11-10,42,08117309313
E00163,Pål,Johnsen,M,1997-12-23,28,25044610240
E00164,Bjørg,Olsen,F,1985-07-01,40,20115131843
E00165,Eli,Evensen,F,1990-11-05,35,03045029548
E00166,Sverre,Aas,M,1991-02-15,34,04098104610
E00167,Kim,Nilsen,M,1979-10-28,46,28025044543
E00168,Liv,Hauge,F,1973-01-08,52,20127206385
E00169,Kirsten,Nguyen,F,1983-11-22,42,30115544574
E00170,Alf,Ruud,M,1986-05-26,39,09118236049
E00171,Rita,Tangen,F,1993-04-08,32,21108138421
E00172,Helge,Pettersen,M,1972-05-27,53,12105140191
E00173,Steinar,Rasmussen,M,1962-02-23,63,07107902907
E00174,Kari,Strøm,F,1968-05-29,57,25059911360
E00175,Elisabeth,Ødegård,F,1996-03-04,29,29087410542
E00176,Marianne,Haugen,F,1982-07-07,43,24029704313
E00177,Vegard,Eriksen,M,2005-06-28,20,05074235540
E00178,Daniel,Johannessen,M,1960-05-30,65,04108329411
E00179,Terje,Tangen,M,2005-03-21,20,18128340536
E00180,Einar,Simonsen,M,1975-05-18,50,08036539861
E00181,Jørgen,Olsen,M,1974-07-13,51,18054940641
E00182,Thea,Hauge,F,2003-08-24,22,07117008023
E00183,Anne,Hauge,F,1992-12-27,33,23019715817
E00184,Elise,Jenssen,F,1990-05-03,35,13037437349
E00185,Magne,Rønning,M,1966-03-16,59,01086317113
E00186,Thor,Jakobsen,M,1974-04-02,51,15096715517
E00187,Camilla,Sivertsen,F,1984-06-18,41,20085817354
E00188,Elin,Kristiansen,F,1965-09-14,60,09014841846
E00189,Anita,Andersen,F,1982-02-28,43,18088536297
E00190,Bente,Thorsen,F,1997-03-06,28,23118814479
E00191,Øyvind,Birkeland,M,2000-01-09,25,25030784572
E00192,Emma,Berge,F,2004-06-13,21,03030565893
E00193,Jørgen,Abrahamsen,M,1971-04-28,54,04098308674
E00194,Martine,Berge,F,1963-10-16,62,03106423929
E00195,Sebastian,Bakke,M,1990-03-23,35,13046239037
E00196,Tore,Ødegård,M,2004-04-21,21,13096029173
E00197,Aud,Lien,F,1986-10-18,39,28036931681
E00198,Berit,Arnesen,F,1981-05-21,44,28115217854
E00199,Stein,Nielsen,M,1996-10-12,29,05084324967
E00200,Martine,Haugen,F,1990-05-05,35,16026206190
E00201,Sissel,Rønning,F,1996-12-25,29,24104227690
E00202,Hanna,Johnsen,F,1982-07-13,43,18106626126
E00203,Janne,Karlsen,F,1980-09-24,45,24104723310
E00204,Stine,Larsen,F,1964-01-13,61,19049905648
E00205,Camilla,Tangen,F,1984-10-28,41,23109535435
E00206,Sverre,Berg,M,1987-06-03,38,05107546180
E00207,Johannes,Næss,M,1980-09-22,45,08127536881
E00208,Harald,Brekke,M,2004-02-27,21,22036435422
E00209,Cecilie,Thorsen,F,1978-06-03,47,23125527884
E00210,Øystein,Paulsen,M,2001-03-21,24,05124638498
E00211,Anna,Edvardsen,F,1978-01-23,47,09064421554
E00212,Andrea,Edvardsen,F,1969-03-19,56,03095604349
E00213,Tor,Pettersen,M,1961-07-20,64,02049924693
E00214,Liv,Holm,F,1970-03-06,55,14047446547
E00215,Øyvind,Myklebust,M,2000-01-15,25,11119909211
E00216,Vegard,Paulsen,M,1962-11-07,63,07014742640
E00217,Ola,Nygård,M,1989-07-19,36,29047007524
E00218,Marius,Berge,M,1978-09-28,47,21084602393
E00219,Kristoffer,Næss,M,1963-03-12,62,17100669226
E00220,Øystein,Bøe,M,1976-11-07,49,07078131750
E00221,Emma,Berntsen,F,1985-05-04,40,14095942432
E00222,Berit,Johannessen,F,1962-05-06,63,06056829006
E00223,Jon,Nguyen,M,1988-09-04,37,15015618180
E00224,Kristin,Abrahamsen,F,1981-07-26,44,24019244551
E00225,Britt,Knudsen,F,1966-09-02,59,27088537799
E00226,Martine,Arnesen,F,1986-05-25,39,24087914573
E00227,Øyvind,Dahl,M,1964-08-30,61,07096133876
E00228,Gerd,Vik,F,1983-03-29,42,26127515017
E00229,Eli,Gundersen,F,1972-11-21,53,01129148027
E00230,Fredrik,Tveit,M,2002-03-13,23,25026348962
E00231,Vilde,Nielsen,F,1990-01-05,35,17054640579
E00232,Ellen,Knutsen,F,1964-02-11,61,31056540531
E00233,Ida,Nilsen,F,1963-04-16,62,28117519602
E00234,Lise,Ali,F,1963-05-04,62,27057439942
E00235,Mari,Jenssen,F,1990-12-14,35,02065528870
E00236,Sissel,Eide,F,1981-05-06,44,16035332301
E00237,Aud,Kristensen,F,1966-07-05,59,02097632262
E00238,Arild,Gulbrandsen,M,1989-04-03,36,23016823481
E00239,Ingeborg,Jenssen,F,1987-04-14,38,01013843917
E00240,Astrid,Pedersen,F,2003-07-07,22,17067718429
E00241,Torill,Ruud,F,2000-06-24,25,28129305985
E00242,Siv,Birkeland,F,1983-04-09,42,26087908924
E00243,Tommy,Arnesen,M,1980-07-13,45,04055741595
E00244,Emil,Sandvik,M,2007-04-17,18,15034141662
E00245,Per,Jacobsen,M,1960-09-15,65,14127411388
E00246,Julie,Tveit,F,1992-07-22,33,04049008266
E00247,Christian,Haugen,M,1966-05-07,59,08126139250
E00248,Reidun,Jensen,F,1969-12-17,56,04129244890
E00249,Frank,Strand,M,1989-04-01,36,25070373389
E00250,Markus,Olsen,M,1978-11-08,47,25123914921
E00251,Hanne,Haugland,F,1991-05-20,34,28019043934
E00252,Markus,Kristoffersen,M,1978-08-22,47,03093732986
E00253,Magne,Christensen,M,1973-01-20,52,07083516059
E00254,Stian,Lien,M,1984-09-22,41,24095745861
E00255,Elin,Hanssen,F,1965-03-04,60,08013917672
E00256,Marit,Birkeland,F,1989-03-27,36,03049928482
E00257,Anders,Jørgensen,M,1963-02-02,62,30117115786
E00258,Bjørg,Jakobsen,F,1974-09-29,51,14120456580
E00259,Eli,Bøe,F,1962-01-27,63,29098144356
E00260,Vilde,Sørensen,F,1991-05-22,34,28036705088
E00261,Ivar,Engen,M,1969-08-22,56,31035807503
E00262,Hanne,Hauge,F,1967-10-04,58,14030379099
E00263,Eirik,Lunde,M,2000-01-28,25,23055940827
E00264,Nora,Fredriksen,F,1969-03-27,56,08058100928
E00265,Karin,Fredriksen,F,1998-04-19,27,09027042071
E00266,Pål,Jacobsen,M,1964-01-27,61,15046024629
E00267,Arild,Pettersen,M,1985-10-16,40,28127347133
E00268,Karin,Ødegård,F,1964-01-24,61,19077637446
E00269,Erik,Amundsen,M,1983-06-10,42,01075841317
E00270,Øyvind,Sivertsen,M,1991-01-31,34,04024540338
E00271,Elise,Andresen,F,1990-08-11,35,01030462161
E00272,Gunnar,Amundsen,M,1980-12-10,45,31087934724
E00273,Heidi,Ali,F,2003-06-27,22,03059022139
E00274,Sissel,Henriksen,F,1978-01-21,47,25049627737
E00275,Trond,Knutsen,M,1985-10-11,40,24017731641
E00276,Karoline,Martinsen,F,1977-08-13,48,10083505643
E00277,Rita,Edvardsen,F,1996-08-01,29,15028106197
E00278,Jenny,Ruud,F,1979-08-02,46,26127938759
E00279,Frank,Solberg,M,1989-09-03,36,11127502546
E00280,Sindre,Knudsen,M,1978-02-24,47,10025023841
E00281,Turid,Simonsen,F,1970-05-09,55,08090488628
E00282,Andreas,Berntsen,M,1964-01-16,61,23048623719
E00283,Nina,Ali,F,2000-08-22,25,19099323526
E00284,Markus,Thorsen,M,1964-09-11,61,29125533416
E00285,Kristoffer,Haug,M,2003-09-01,22,24068207084
E00286,Tor,Edvardsen,M,1993-06-04,32,12016135176
E00287,Helene,Vik,F,1977-03-06,48,27044418725
E00288,Grete,Berg,F,1968-09-13,57,02110061725
E00289,Daniel,Sivertsen,M,1981-03-19,44,27074745194
E00290,Roger,Moen,M,1979-03-23,46,28078045290
E00291,Kari,Madsen,F,1974-09-22,51,05089608270
E00292,Marie,Ahmed,F,1984-01-10,41,11105729989
E00293,Emil,Olsen,M,1965-05-01,60,01080175783
E00294,Martine,Johnsen,F,1987-04-30,38,27115508437
E00295,Stian,Antonsen,M,1990-02-01,35,09096508988
E00296,Silje,Nilsen,F,1971-11-06,54,08083827816
E00297,Asbjørn,Berg,M,1994-09-21,31,02109310339
E00298,Jørgen,Sørensen,M,1974-10-23,51,09067605567
E00299,Grete,Pettersen,F,1996-12-13,29,10118240451
E00300,Ruth,Mikkelsen,F,1965-10-28,60,24056237883
E00301,Ellen,Dahl,F,2004-04-16,21,17065136139
E00302,Anna,Arnesen,F,1962-07-23,63,07124941312
E00303,Wenche,Nguyen,F,1987-10-25,38,11015231884
E00304,Johan,Rasmussen,M,1980-01-09,45,26026419637
E00305,Berit,Solberg,F,1963-07-18,62,20049326743
E00306,Morten,Ellingsen,M,1982-08-13,43,20015320495
E00307,Tove,Isaksen,F,1986-08-07,39,02109515771
E00308,Elin,Halvorsen,F,1990-01-22,35,29038506097
E00309,Johan,Jenssen,M,2001-05-05,24,20126936452
E00310,Geir,Thorsen,M,1970-04-23,55,12106231557
E00311,Marie,Abrahamsen,F,1965-08-05,60,15037215349
E00312,Sander,Iversen,M,1962-10-11,63,12120281915
E00313,Sissel,Simonsen,F,1991-06-28,34,05118106689
E00314,Elise,Hagen,F,1984-05-10,41,14123823150
E00315,Kristin,Andersen,F,1998-04-10,27,29015723880
E00316,Johannes,Antonsen,M,1985-10-03,40,30036248927
E00317,Joakim,Paulsen,M,2005-10-07,20,30085225452
E00318,Julie,Myhre,F,1984-05-06,41,02103932664
E00319,Mari,Amundsen,F,1962-07-20,63,28120380895
E00320,Liv,Brekke,F,2000-09-20,25,26036120214
E00321,Kristine,Olsen,F,1979-10-30,46,20035432974
E00322,Roar,Lie,M,1997-10-09,28,02088001594
E00323,Jorunn,Simonsen,F,1966-12-04,59,10027046113
E00324,Reidun,Larsen,F,1977-07-14,48,31084846026
E00325,Sander,Lien,M,1971-01-26,54,13066002947
E00326,Tobias,Berge,M,1972-06-12,53,13100570747
E00327,Ellen,Johnsen,F,2006-06-15,19,10038932972
E00328,Nils,Svendsen,M,1963-09-15,62,01034433212
E00329,Monica,Helland,F,2004-07-12,21,25076420389
E00330,Liv,Mikkelsen,F,1982-10-05,43,22065843580
E00331,Sindre,Lien,M,1972-07-19,53,14058535568
E00332,Gunn,Hauge,F,1979-02-18,46,29034420651
E00333,Kim,Myhre,M,1978-01-27,47,30088136868
E00334,Kirsten,Johannessen,F,1982-12-14,43,16023818004
E00335,Ingeborg,Sæther,F,1964-11-04,61,29057641558
E00336,Trond,Lien,M,1974-01-10,51,09058935546
E00337,Erik,Bakke,M,2001-05-12,24,05014142829
E00338,Helge,Pettersen,M,1975-04-24,50,09100276418
E00339,Tonje,Larsen,F,1966-04-23,59,15054600892
E00340,Else,Johnsen,F,2003-11-23,22,21106441321
E00341,Unni,Hanssen,F,1981-04-27,44,16118114802
E00342,Trine,Strand,F,1962-01-02,63,11109111122
E00343,Kristoffer,Ødegård,M,1993-03-05,32,07109002148
E00344,John,Myklebust,M,2000-06-26,25,08119718784
E00345,Stian,Moen,M,1995-02-23,30,04036332633
E00346,Hilde,Eide,F,1967-02-17,58,25107746679
E00347,Stian,Gundersen,M,1972-02-20,53,21030668925
E00348,Terje,Thomassen,M,1972-08-11,53,27099127932
E00349,Jørgen,Aune,M,1986-09-28,39,10064711240
E00350,Odd,Helland,M,1976-05-06,49,14110674385
E00351,Lise,Thomassen,F,1977-08-20,48,28117737901
E00352,Anette,Hagen,F,2003-12-13,22,24037503017
E00353,Morten,Haugland,M,1970-05-02,55,10027144123
E00354,Silje,Haugen,F,1984-06-23,41,04055214226
E00355,Odd,Brekke,M,1990-06-05,35,26054026926
E00356,Maren,Thomassen,F,1996-01-17,29,14073548293
E00357,Stine,Thomassen,F,2000-01-05,25,04113633625
E00358,Pål,Sørensen,M,1984-02-01,41,22060053808
E00359,Ole,Eliassen,M,1998-06-09,27,03055910463
E00360,Petter,Knutsen,M,1967-05-18,58,14064645871
E00361,Ola,Aune,M,1994-03-13,31,08076729205
E00362,Marit,Jørgensen,F,1990-07-20,35,21115635627
E00363,Terje,Haugland,M,1960-12-12,65,17127100314
E00364,Ragnhild,Antonsen,F,1962-07-19,63,21066944112
E00365,Robert,Andreassen,M,1964-02-29,61,17026518660
E00366,Eva,Tveit,F,1968-09-06,57,11103823759
E00367,Martin,Jensen,M,1985-01-10,40,13040091402
E00368,Elin,Danielsen,F,1996-01-10,29,21037246236
E00369,Andrea,Thomassen,F,1961-01-05,64,18098043965
E00370,Magnus,Mikkelsen,M,1985-04-10,40,17118629442
E00371,Espen,Hansen,M,1972-04-16,53,09064202623
E00372,Ruth,Tveit,F,1960-07-12,65,21118504051
E00373,Sigurd,Ali,M,1989-11-05,36,07115315026
E00374,Lars,Knutsen,M,1975-05-31,50,22015948004
E00375,Elise,Lund,F,1979-02-24,46,22068636950
E00376,Øystein,Simonsen,M,1981-04-15,44,25038609966
E00377,Helge,Johnsen,M,1979-11-30,46,18108235892
E00378,Tor,Danielsen,M,2002-01-24,23,03084603537
E00379,Stian,Sandvik,M,1985-05-27,40,25123626357
E00380,John,Jensen,M,1971-12-24,54,20103915326
E00381,John,Sørensen,M,1969-04-15,56,10126535614
E00382,Lene,Myhre,F,1995-07-14,30,15069513589
E00383,Siri,Arnesen,F,1990-01-27,35,11037434223
E00384,Arne,Halvorsen,M,1985-02-17,40,17014704248
E00385,Vidar,Nilsen,M,2005-02-26,20,06055721457
E00386,Anette,Engen,F,1972-05-25,53,17124015863
E00387,Tommy,Ellingsen,M,1986-06-16,39,04018618740
E00388,Morten,Mikkelsen,M,2003-08-12,22,02047516520
E00389,Marit,Lunde,F,1991-03-06,34,20089848572
E00390,Hans,Jakobsen,M,1980-10-04,45,07057036294
E00391,Tor,Birkeland,M,1960-07-27,65,01028418368
E00392,Grete,Henriksen,F,1975-02-13,50,28057331846
E00393,Stig,Sivertsen,M,1982-06-09,43,24058429305
E00394,Tore,Iversen,M,1970-12-26,55,04129411959
E00395,Stian,Andreassen,M,1995-02-13,30,12060492059
E00396,Vidar,Aasen,M,1987-07-13,38,23029504261
E00397,Alexander,Engen,M,1993-11-18,32,28076603954
E00398,Silje,Sandvik,F,2001-06-02,24,18026401123
E00399,Roar,Moe,M,1987-06-16,38,02060683436
E00400,May,Hanssen,F,1960-08-19,65,05066211136
E00401,Camilla,Mathisen,F,1969-08-06,56,11118516488
E00402,Jens,Johannessen,M,1964-11-04,61,05017441134
E00403,Daniel,Johansen,M,1985-04-10,40,23087303187
E00404,Thea,Dahl,F,1965-02-03,60,21086241533
E00405,Nina,Bakken,F,1995-05-29,30,31080363845
E00406,Nils,Halvorsen,M,1962-08-20,63,23100092174
E00407,Emma,Haug,F,1960-07-13,65,23118848640
E00408,Berit,Hauge,F,1970-07-09,55,20115636643
E00409,Solveig,Moen,F,1982-01-15,43,17017344048
E00410,Mari,Tangen,F,1983-01-01,42,31080277213
E00411,Berit,Holm,F,2000-08-24,25,29063820162
E00412,Silje,Halvorsen,F,1990-02-15,35,20066322808
E00413,Kåre,Knudsen,M,1972-02-08,53,03074605981
E00414,Inger,Gulbrandsen,F,1964-06-20,61,14020059797
E00415,Tom,Ødegård,M,2002-08-08,23,22089320597
E00416,Einar,Aune,M,1959-10-27,66,29107923584
E00417,Cathrine,Berntsen,F,1965-05-28,60,02099035946
E00418,Leif,Bakke,M,1961-04-02,64,11069935119
E00419,Sigurd,Næss,M,1981-07-17,44,02127218628
E00420,Kristian,Vik,M,1965-03-25,60,15064210286
E00421,Hilde,Hauge,F,1977-09-24,48,30036327452
E00422,Lene,Hauge,F,1992-06-01,33,07043723450
E00423,Hege,Strand,F,2001-12-31,24,01016329076
E00424,Elise,Hauge,F,1959-12-05,66,25127139728
E00425,Karl,Knutsen,M,1982-03-30,43,06116819455
E00426,Rita,Solberg,F,1973-02-18,52,04076411714
E00427,Janne,Haugen,F,2006-10-04,19,14095036342
E00428,Jørgen,Jensen,M,1978-07-16,47,23123623150
E00429,Nina,Eliassen,F,1999-10-07,26,13075843881
E00430,Anna,Strøm,F,1990-11-17,35,07124328440
E00431,Synnøve,Andresen,F,1987-04-23,38,08024708560
E00432,Håkon,Gundersen,M,2004-04-15,21,27089324160
E00433,Lise,Næss,F,1992-01-29,33,01045534983
E00434,Thor,Jørgensen,M,1996-06-17,29,08030494971
E00435,Sigurd,Pettersen,M,1965-04-01,60,02099742464
E00436,Frank,Rasmussen,M,2001-02-27,24,05070377197
E00437,Alexander,Bakken,M,1977-01-26,48,26078728441
E00438,Kristoffer,Kristoffersen,M,2005-09-16,20,05095422057
E00439,Marianne,Bakke,F,1979-07-28,46,01037007257
E00440,Kim,Haugland,M,1982-10-23,43,19086633658
E00441,Kim,Larsen,M,1966-02-09,59,04036819176
E00442,Tommy,Berge,M,1961-01-01,64,14097647241
E00443,Marte,Danielsen,F,1997-01-08,28,11029335739
E00444,Morten,Evensen,M,1987-01-11,38,26125025039
E00445,Tor,Olsen,M,1972-11-22,53,24026745345
E00446,Grethe,Hansen,F,2007-05-11,18,26013636078
E00447,Roar,Edvardsen,M,1984-05-10,41,28037829074
E00448,Jan,Sandvik,M,1992-10-10,33,20026039755
E00449,Randi,Berge,F,1983-02-21,42,27117539356
E00450,Terje,Sørensen,M,1979-09-16,46,09055243244
E00451,Janne,Berg,F,1975-09-13,50,01028011497
E00452,Thor,Birkeland,M,1994-03-24,31,18087236710
E00453,Magnus,Edvardsen,M,1992-08-01,33,20065035260
E00454,Ola,Hanssen,M,1969-01-05,56,12099028910
E00455,Astrid,Iversen,F,1960-02-13,65,03016435863
E00456,Sissel,Lunde,F,1987-04-23,38,20014626795
E00457,Maria,Dahl,F,1965-02-02,60,04105618048
E00458,Ida,Eriksen,F,1996-01-19,29,01088129888
E00459,Trond,Tveit,M,1993-03-04,32,01035836019
E00460,Hilde,Vik,F,1996-06-03,29,27077448697
E00461,Mette,Engen,F,1988-05-25,37,18049819087
E00462,Lise,Hagen,F,1983-03-09,42,05099907349
E00463,Hans,Svendsen,M,1999-06-22,26,28084545939
E00464,Steinar,Karlsen,M,1970-10-05,55,15035203823
